# EVENTS
run,payload_size,declared_size,bytes_received,tx_start,rx_end,complete,verified,skip_reason

# OVERVIEW
22,1,1,1,2026-05-02T12:40:08.381,2026-05-02T12:40:08.382,True,True,
22,2,2,2,2026-05-02T12:40:09.383,2026-05-02T12:40:09.529,True,True,
22,4,4,4,2026-05-02T12:40:10.533,2026-05-02T12:40:10.861,True,True,
22,8,8,8,2026-05-02T12:40:11.868,2026-05-02T12:40:12.082,True,True,
22,16,16,16,2026-05-02T12:40:13.088,2026-05-02T12:40:13.376,True,True,
22,32,32,32,2026-05-02T12:40:14.379,2026-05-02T12:40:14.811,True,True,
22,64,64,64,2026-05-02T12:40:15.814,2026-05-02T12:40:16.551,True,True,
22,128,128,128,2026-05-02T12:40:17.556,2026-05-02T12:40:18.129,True,True,
22,256,256,256,2026-05-02T12:40:19.133,2026-05-02T12:40:19.352,True,True,
22,512,512,512,2026-05-02T12:40:20.353,2026-05-02T12:40:20.586,True,True,
22,1024,1024,1024,2026-05-02T12:40:21.592,2026-05-02T12:40:22.153,True,True,
22,2048,2048,2048,2026-05-02T12:40:23.157,2026-05-02T12:40:23.510,True,True,
22,4096,4096,4096,2026-05-02T12:40:24.516,2026-05-02T12:40:25.113,True,True,
22,8192,8192,8192,2026-05-02T12:40:26.117,2026-05-02T12:40:27.056,True,True,
22,16384,16384,16384,2026-05-02T12:40:28.060,2026-05-02T12:40:29.799,True,True,
22,32768,32768,32768,2026-05-02T12:40:30.806,2026-05-02T12:40:33.920,True,True,
22,65536,65536,65536,2026-05-02T12:40:34.928,2026-05-02T12:40:40.990,True,True,
22,131072,131072,131072,2026-05-02T12:40:41.996,2026-05-02T12:40:55.094,True,True,
22,262144,262144,262144,2026-05-02T12:40:56.105,2026-05-02T12:41:20.900,True,True,
22,524288,524288,524288,2026-05-02T12:41:21.918,2026-05-02T12:42:09.885,True,True,
# RESULTS
Index, Phase, Mean_V, Min_V, Max_V, Spread_V, Std_V, Uncertainty_V, Neff, Elapsed_ms, Unique_Sample_Count
0, baseline, 0.107786111, 0.106636000, 0.119454000, 0.012818000, 0.002734799, 0.000491664, 30.95, 5057.000, 27
1, idle, 0.106893273, 0.106375000, 0.108372000, 0.001997000, 0.000540706, 0.000140562, 14.88, 2005.000, 11
2, tx_2, 0.106503000, 0.106420000, 0.106586000, 0.000166000, 0.000117380, 0.000083639, 2.00, 143.000, 2
3, idle, 0.105469817, 0.099574900, 0.106787000, 0.007212100, 0.002891098, 0.000934123, 9.58, 1001.000, 6
4, tx_4, 0.106781000, 0.106775000, 0.106787000, 0.000012000, 0.000008485, 0.000011952, 2.00, 323.000, 2
5, idle, 0.105763667, 0.100372000, 0.107211000, 0.006839000, 0.002648463, 0.000789989, 11.24, 988.000, 6
6, tx_8, 0.106881333, 0.106748000, 0.107054000, 0.000306000, 0.000156746, 0.000157087, 1.00, 211.000, 3
7, idle, 0.106958600, 0.106741000, 0.107412000, 0.000671000, 0.000282151, 0.000154774, 3.34, 1004.000, 5
8, tx_16, 0.107087667, 0.106632000, 0.107866000, 0.001234000, 0.000677329, 0.000677408, 1.00, 286.000, 3
9, idle, 0.105183383, 0.097682300, 0.106743000, 0.009060700, 0.003674955, 0.001168091, 9.90, 998.000, 6
10, tx_32, 0.106001333, 0.104268000, 0.106993000, 0.002725000, 0.001506306, 0.001506341, 1.00, 429.000, 3
11, idle, 0.104623817, 0.095184900, 0.108298000, 0.013113100, 0.004800389, 0.001713166, 7.85, 999.000, 6
12, tx_64, 0.101856700, 0.094908200, 0.106866000, 0.011957800, 0.006341006, 0.005879370, 1.16, 735.000, 5
13, idle, 0.103986050, 0.094930300, 0.107757000, 0.012826700, 0.005097599, 0.005097609, 1.00, 1003.000, 6
14, tx_128, 0.104897667, 0.101058000, 0.106847000, 0.005789000, 0.003325380, 0.000010191, 54043195528445952.00, 571.000, 3
15, idle, 0.105756700, 0.094797900, 0.114805000, 0.020007100, 0.006280835, 0.003203915, 3.84, 1000.000, 7
16, tx_256, 0.107431500, 0.106696000, 0.108167000, 0.001471000, 0.001040154, 0.000735573, 2.00, 217.000, 2
17, idle, 0.106661500, 0.106177000, 0.106809000, 0.000632000, 0.000241055, 0.000086348, 7.91, 996.000, 6
18, tx_512, 0.106683000, 0.106642000, 0.106724000, 0.000082000, 0.000057983, 0.000042281, 2.00, 230.000, 2
19, idle, 0.106841167, 0.106416000, 0.107897000, 0.001481000, 0.000530525, 0.000201374, 6.96, 1001.000, 6
20, tx_1024, 0.103020450, 0.095382800, 0.106668000, 0.011285200, 0.005298509, 0.005298519, 1.00, 555.000, 4
21, idle, 0.105551467, 0.095382800, 0.109992000, 0.014609200, 0.005136363, 0.000344742, 222.18, 1000.000, 6
22, tx_2048, 0.107211333, 0.106745000, 0.107643000, 0.000898000, 0.000450003, 0.000010370, 27021597764222972.00, 351.000, 3
23, idle, 0.106908200, 0.106636000, 0.107246000, 0.000610000, 0.000250319, 0.000101743, 6.12, 995.000, 5
24, tx_4096, 0.106934250, 0.104611000, 0.108825000, 0.004214000, 0.001769634, 0.000216536, 66.94, 596.000, 4
25, idle, 0.106951600, 0.105690000, 0.108825000, 0.003135000, 0.001143273, 0.000089138, 166.75, 999.000, 5
26, tx_8192, 0.107235333, 0.106622000, 0.108532000, 0.001910000, 0.000774767, 0.000530553, 2.13, 939.000, 6
27, idle, 0.107196000, 0.106587000, 0.108622000, 0.002035000, 0.000840137, 0.000451827, 3.46, 999.000, 6
28, tx_16384, 0.107110900, 0.105043000, 0.108445000, 0.003402000, 0.000980190, 0.000412454, 5.65, 1737.000, 10
29, idle, 0.106748500, 0.106415000, 0.106940000, 0.000525000, 0.000201636, 0.000053903, 14.53, 1001.000, 6
30, tx_32768, 0.107605312, 0.106693000, 0.109998000, 0.003305000, 0.000732442, 0.000186765, 15.43, 3111.000, 16
31, idle, 0.106787500, 0.105768000, 0.107365000, 0.001597000, 0.000550292, 0.000173954, 10.04, 1004.000, 6
32, tx_65536, 0.107845031, 0.106340000, 0.109731000, 0.003391000, 0.000871928, 0.000200184, 19.02, 6060.000, 32
33, idle, 0.107707000, 0.106432000, 0.110664000, 0.004232000, 0.001569097, 0.000422326, 13.81, 999.000, 6
34, tx_131072, 0.106672318, 0.094731500, 0.111185000, 0.016453500, 0.003388230, 0.001025669, 10.91, 13097.000, 66
35, idle, 0.107006333, 0.106623000, 0.107772000, 0.001149000, 0.000409716, 0.000197393, 4.32, 1002.000, 6
36, tx_262144, 0.106971307, 0.094659800, 0.110273000, 0.015613200, 0.002570127, 0.000497314, 26.72, 24797.000, 125
37, idle, 0.106724333, 0.106033000, 0.107255000, 0.001222000, 0.000397163, 0.000055635, 52.78, 1000.000, 6
38, tx_524288, 0.107490834, 0.094806200, 0.115176000, 0.020369800, 0.001961025, 0.000232087, 71.54, 47972.000, 240
# METER
Timestamp_Start, Timestamp_End, V_Shunt, Phase, Current
2026-05-02T12:40:02.317,2026-05-02T12:40:02.317,0.107139000,baseline,0.094432094
2026-05-02T12:40:02.319,2026-05-02T12:40:02.451,0.107583000,baseline,0.094823426
2026-05-02T12:40:02.454,2026-05-02T12:40:02.643,0.107391000,baseline,0.094654202
2026-05-02T12:40:02.646,2026-05-02T12:40:02.823,0.106636000,baseline,0.093988760
2026-05-02T12:40:02.833,2026-05-02T12:40:03.013,0.106702000,baseline,0.094046931
2026-05-02T12:40:03.030,2026-05-02T12:40:03.207,0.108435000,baseline,0.095574362
2026-05-02T12:40:03.213,2026-05-02T12:40:03.501,0.113900000,baseline,0.100391104
2026-05-02T12:40:03.504,2026-05-02T12:40:03.691,0.107374000,baseline,0.094639218
2026-05-02T12:40:03.693,2026-05-02T12:40:03.874,0.106704000,baseline,0.094048693
2026-05-02T12:40:03.882,2026-05-02T12:40:04.063,0.106670000,baseline,0.094018727
2026-05-02T12:40:04.072,2026-05-02T12:40:04.252,0.107091000,baseline,0.094389788
2026-05-02T12:40:04.265,2026-05-02T12:40:04.451,0.106687000,baseline,0.094033710
2026-05-02T12:40:04.453,2026-05-02T12:40:04.651,0.107065000,baseline,0.094366872
2026-05-02T12:40:04.654,2026-05-02T12:40:04.824,0.106825000,baseline,0.094155340
2026-05-02T12:40:04.838,2026-05-02T12:40:05.107,0.106739000,baseline,0.094079542
2026-05-02T12:40:05.117,2026-05-02T12:40:05.299,0.108121000,baseline,0.095297609
2026-05-02T12:40:05.310,2026-05-02T12:40:05.497,0.106679000,baseline,0.094026659
2026-05-02T12:40:05.499,2026-05-02T12:40:05.678,0.106689000,baseline,0.094035473
2026-05-02T12:40:05.690,2026-05-02T12:40:05.868,0.106707000,baseline,0.094051338
2026-05-02T12:40:05.877,2026-05-02T12:40:06.056,0.106785000,baseline,0.094120085
2026-05-02T12:40:06.068,2026-05-02T12:40:06.248,0.119454000,baseline,0.105286289
2026-05-02T12:40:06.258,2026-05-02T12:40:06.446,0.106688000,baseline,0.094034591
2026-05-02T12:40:06.448,2026-05-02T12:40:06.628,0.106964000,baseline,0.094277852
2026-05-02T12:40:06.650,2026-05-02T12:40:06.824,0.107011000,baseline,0.094319277
2026-05-02T12:40:06.833,2026-05-02T12:40:07.118,0.106668000,baseline,0.094016964
2026-05-02T12:40:07.121,2026-05-02T12:40:07.309,0.108794000,baseline,0.095890778
2026-05-02T12:40:07.312,2026-05-02T12:40:07.374,0.106724000,baseline,0.094066321
2026-05-02T12:40:07.377,2026-05-02T12:40:07.488,0.106724000,idle,0.094066321
2026-05-02T12:40:07.498,2026-05-02T12:40:07.689,0.106545000,idle,0.093908554
2026-05-02T12:40:07.692,2026-05-02T12:40:07.877,0.106800000,idle,0.094133306
2026-05-02T12:40:07.879,2026-05-02T12:40:08.058,0.107242000,idle,0.094522876
2026-05-02T12:40:08.068,2026-05-02T12:40:08.256,0.106375000,idle,0.093758719
2026-05-02T12:40:08.259,2026-05-02T12:40:08.446,0.106595000,idle,0.093952623
2026-05-02T12:40:08.453,2026-05-02T12:40:08.636,0.106872000,idle,0.094196765
2026-05-02T12:40:08.639,2026-05-02T12:40:08.914,0.106828000,idle,0.094157985
2026-05-02T12:40:08.923,2026-05-02T12:40:09.111,0.106887000,idle,0.094209986
2026-05-02T12:40:09.113,2026-05-02T12:40:09.293,0.108372000,idle,0.095518835
2026-05-02T12:40:09.302,2026-05-02T12:40:09.382,0.106586000,idle,0.093944691
2026-05-02T12:40:09.384,2026-05-02T12:40:09.483,0.106586000,tx_2,0.093944691
2026-05-02T12:40:09.492,2026-05-02T12:40:09.527,0.106420000,tx_2,0.093798382
2026-05-02T12:40:09.531,2026-05-02T12:40:09.673,0.106420000,idle,0.093798382
2026-05-02T12:40:09.682,2026-05-02T12:40:09.864,0.099574900,idle,0.087765247
2026-05-02T12:40:09.873,2026-05-02T12:40:10.054,0.106787000,idle,0.094121848
2026-05-02T12:40:10.068,2026-05-02T12:40:10.255,0.106641000,idle,0.093993167
2026-05-02T12:40:10.259,2026-05-02T12:40:10.433,0.106609000,idle,0.093964962
2026-05-02T12:40:10.442,2026-05-02T12:40:10.532,0.106787000,idle,0.094121848
2026-05-02T12:40:10.535,2026-05-02T12:40:10.718,0.106787000,tx_4,0.094121848
2026-05-02T12:40:10.728,2026-05-02T12:40:10.858,0.106775000,tx_4,0.094111271
2026-05-02T12:40:10.864,2026-05-02T12:40:10.908,0.106775000,idle,0.094111271
2026-05-02T12:40:10.918,2026-05-02T12:40:11.098,0.100372000,idle,0.088467795
2026-05-02T12:40:11.110,2026-05-02T12:40:11.289,0.107211000,idle,0.094495553
2026-05-02T12:40:11.298,2026-05-02T12:40:11.478,0.106718000,idle,0.094061033
2026-05-02T12:40:11.488,2026-05-02T12:40:11.668,0.106664000,idle,0.094013438
2026-05-02T12:40:11.678,2026-05-02T12:40:11.852,0.106842000,idle,0.094170324
2026-05-02T12:40:11.870,2026-05-02T12:40:11.870,0.106842000,tx_8,0.094170324
2026-05-02T12:40:11.873,2026-05-02T12:40:12.048,0.106748000,tx_8,0.094087474
2026-05-02T12:40:12.062,2026-05-02T12:40:12.081,0.107054000,tx_8,0.094357176
2026-05-02T12:40:12.084,2026-05-02T12:40:12.238,0.107054000,idle,0.094357176
2026-05-02T12:40:12.248,2026-05-02T12:40:12.522,0.107412000,idle,0.094672711
2026-05-02T12:40:12.532,2026-05-02T12:40:12.713,0.106821000,idle,0.094151815
2026-05-02T12:40:12.722,2026-05-02T12:40:12.903,0.106741000,idle,0.094081305
2026-05-02T12:40:12.913,2026-05-02T12:40:13.088,0.106765000,idle,0.094102458
2026-05-02T12:40:13.090,2026-05-02T12:40:13.093,0.106765000,tx_16,0.094102458
2026-05-02T12:40:13.103,2026-05-02T12:40:13.291,0.107866000,tx_16,0.095072857
2026-05-02T12:40:13.295,2026-05-02T12:40:13.376,0.106632000,tx_16,0.093985234
2026-05-02T12:40:13.379,2026-05-02T12:40:13.484,0.106632000,idle,0.093985234
2026-05-02T12:40:13.487,2026-05-02T12:40:13.672,0.097682300,idle,0.086097147
2026-05-02T12:40:13.674,2026-05-02T12:40:13.869,0.106699000,idle,0.094044287
2026-05-02T12:40:13.871,2026-05-02T12:40:14.047,0.106660000,idle,0.094009913
2026-05-02T12:40:14.057,2026-05-02T12:40:14.237,0.106684000,idle,0.094031066
2026-05-02T12:40:14.247,2026-05-02T12:40:14.377,0.106743000,idle,0.094083067
2026-05-02T12:40:14.379,2026-05-02T12:40:14.531,0.106743000,tx_32,0.094083067
2026-05-02T12:40:14.534,2026-05-02T12:40:14.713,0.106993000,tx_32,0.094303412
2026-05-02T12:40:14.722,2026-05-02T12:40:14.808,0.104268000,tx_32,0.091901652
2026-05-02T12:40:14.813,2026-05-02T12:40:14.911,0.104268000,idle,0.091901652
