Protocol,Experiment,Run,Unique_Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,chunk,esp32_chunked_1460_run01.csv,672,179.064750,0.1068307948,0.1071350000,0.0025060665,0.1142640000,0.0943170000,0.0001875636,94.1604478599,94.4285682480,2.2087969080,100.7119263039,83.1310393434,472.7211334680,11.0889975747,0.2171895441
wifi,chunk,esp32_chunked_1460_run02.csv,654,396.037784,0.1070318858,0.1070100000,0.0012911124,0.1146240000,0.0967501000,0.0000656991,94.3376854361,94.3183957474,1.1379606583,101.0292231057,85.2755250337,473.6109332703,5.7129937724,0.1418279416
wifi,chunk,esp32_chunked_1460_run03.csv,657,201.985445,0.1071852839,0.1072180000,0.0018624654,0.1178420000,0.0946145000,0.0001314568,94.4728874421,94.5017227884,1.6415397464,103.8655039619,83.3932498949,474.2896985798,8.2411516427,0.1771680964
wifi,chunk,esp32_chunked_1460_run04.csv,684,116.748554,0.1068277670,0.1072235000,0.0028546524,0.1175550000,0.0946242000,0.0002643990,94.1577791888,94.5065703784,2.5160335666,103.6125479005,83.4017992810,472.7077357276,12.6314420381,0.2785702275
wifi,chunk,esp32_chunked_1460_run05.csv,662,182.131415,0.1073687763,0.1074270000,0.0020786133,0.1168730000,0.0948314000,0.0001543710,94.6346139904,94.6859312095,1.8320482361,103.0114467370,83.5844212180,475.1016271436,9.1975764604,0.1924014116
wifi,chunk,esp32_chunked_1460_run06.csv,664,155.768309,0.1070751319,0.1072310000,0.0021716518,0.1153110000,0.0946214000,0.0001743087,94.3758017261,94.5131807285,1.9140504815,101.6347311692,83.3993314170,473.8022914918,9.6092588098,0.2069959117
wifi,chunk,esp32_chunked_1460_run07.csv,680,171.922423,0.1067072913,0.1071375000,0.0027441942,0.1157960000,0.0945755000,0.0002095449,94.0515943726,94.4307716980,2.4186779378,102.0622004716,83.3588760747,472.1746477078,12.1426798854,0.2343255582
wifi,chunk,esp32_chunked_1460_run08.csv,675,172.471403,0.1068926905,0.1071490000,0.0025419586,0.1179330000,0.0944512000,0.0001938337,94.2150015160,94.4409075681,2.2404315124,103.9457095424,83.2493205401,472.9950134963,11.2478152779,0.2218749182
wifi,chunk,esp32_chunked_1460_run09.csv,669,278.690436,0.1070873217,0.1072100000,0.0019670053,0.1162000000,0.0946984000,0.0001182815,94.3865455249,94.4946717484,1.7336791582,102.4182779937,83.4671976774,473.8562294333,8.7037264094,0.1689583481
wifi,chunk,esp32_chunked_1460_run10.csv,671,146.381513,0.1070084620,0.1073020000,0.0025097146,0.1179500000,0.0946099000,0.0002076929,94.3170401823,94.5757587088,2.2120122914,103.9606930025,83.3891955469,473.5072862720,11.1051400179,0.2324154190
