Protocol,Experiment,Run,Phase,Samples_N,Samples_N_eff,Elapsed_ms,Vshunt_Mean_V,Current_Mean_mA,Power_Mean_mW
wifi,chunk,esp32_chunked_1460_run01.csv,baseline,28,34.29,5058.000,0.106554286,93.916738288,471.497619055
wifi,chunk,esp32_chunked_1460_run01.csv,idle,11,3.74,2007.000,0.104158582,91.805212776,460.896960752
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2,4,1.00,667.000,0.101298525,89.284415883,448.241605011
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.09,1000.000,0.104238633,91.875768581,461.251177632
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2+idle,10,2.26,1681.000,0.103062590,90.839227502,456.047348583
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4,2,2.00,121.000,0.106470500,93.842891235,471.126878860
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,7.79,1002.000,0.106754000,94.092762466,472.381327139
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4+idle,8,9.54,1125.000,0.106683125,94.030294658,472.067715070
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8,4,1.00,616.000,0.102342075,90.204179987,452.859169389
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.07,999.000,0.103072033,90.847550667,456.089134027
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8+idle,10,2.19,1618.000,0.102780050,90.590202395,454.797148172
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16,5,1.00,848.000,0.101110580,89.118764918,447.409974388
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,1.24,1001.000,0.103145133,90.911979545,456.412591414
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16+idle,11,2.25,1852.000,0.102220336,90.096881987,452.320492766
wifi,chunk,esp32_chunked_1460_run01.csv,tx_32,2,2.00,228.000,0.106550000,93.912960945,471.478655362
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,14.76,1000.000,0.106352667,93.739035291,470.605482662
wifi,chunk,esp32_chunked_1460_run01.csv,tx_32+idle,8,14.13,1231.000,0.106402000,93.782516704,470.823775837
wifi,chunk,esp32_chunked_1460_run01.csv,tx_64,2,2.00,210.000,0.106263500,93.660445574,470.210932498
wifi,chunk,esp32_chunked_1460_run01.csv,idle,7,4.74,996.000,0.106522286,93.888534128,471.356023482
wifi,chunk,esp32_chunked_1460_run01.csv,tx_64+idle,9,3.28,1212.000,0.106464778,93.837847782,471.101558819
wifi,chunk,esp32_chunked_1460_run01.csv,tx_128,2,2.00,333.000,0.106495000,93.864485045,471.235287971
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,9.42,1002.000,0.105305150,92.815775046,465.970366333
wifi,chunk,esp32_chunked_1460_run01.csv,tx_128+idle,8,10.97,1337.000,0.105602612,93.077952546,467.286596742
wifi,chunk,esp32_chunked_1460_run01.csv,tx_256,3,1.00,331.000,0.106859333,94.185601160,472.847412567
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,7.47,1000.000,0.105398667,92.898198766,466.384164645
wifi,chunk,esp32_chunked_1460_run01.csv,tx_256+idle,9,8.63,1334.000,0.105885556,93.327332897,468.538580619
wifi,chunk,esp32_chunked_1460_run01.csv,tx_512,2,2.00,342.000,0.106394500,93.775906354,470.790589375
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,77.55,1004.000,0.106358167,93.743882881,470.629819401
wifi,chunk,esp32_chunked_1460_run01.csv,tx_512+idle,8,23.78,1356.000,0.106367250,93.751888749,470.670011895
wifi,chunk,esp32_chunked_1460_run01.csv,tx_1024,2,2.00,381.000,0.106597500,93.954826495,471.688836290
wifi,chunk,esp32_chunked_1460_run01.csv,idle,7,8.92,1001.000,0.105754257,93.211609102,467.957603307
wifi,chunk,esp32_chunked_1460_run01.csv,tx_1024+idle,9,10.75,1386.000,0.105941644,93.376768522,468.786766193
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2048,3,1.00,421.000,0.105753333,93.210794874,467.953515578
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,50.10,999.000,0.106488667,93.858902971,471.207263847
wifi,chunk,esp32_chunked_1460_run01.csv,tx_2048+idle,9,9.46,1422.000,0.106243556,93.642866939,470.122681091
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4096,4,6.04,564.000,0.107080250,94.380312693,473.824938254
wifi,chunk,esp32_chunked_1460_run01.csv,idle,5,109.36,998.000,0.106574200,93.934290341,471.585737014
wifi,chunk,esp32_chunked_1460_run01.csv,tx_4096+idle,9,9.62,1566.000,0.106799111,94.132522497,472.580937565
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8192,8,4.34,1245.000,0.104530563,92.133069111,462.542923807
wifi,chunk,esp32_chunked_1460_run01.csv,idle,6,40.55,995.000,0.106420833,93.799116028,470.907110732
wifi,chunk,esp32_chunked_1460_run01.csv,tx_8192+idle,14,6.85,2243.000,0.105340679,92.847089218,466.127575346
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16384,9,10.45,1761.000,0.106486078,93.856621177,471.195808372
wifi,chunk,esp32_chunked_1460_run01.csv,idle,7,14.33,1003.000,0.107197143,94.483339720,474.342172975
wifi,chunk,esp32_chunked_1460_run01.csv,tx_16384+idle,16,19.05,2767.000,0.106797169,94.130810539,472.572342886
