# META
module,esp32
measurement,boot
boot_number,29
session,20260330_150910
shunt_ohms,1.1000

# DATA
type,timestamp_or_event,value_or_time,boot_number

EVENT,unplug,2026-03-30T15:16:39.874,29
METER,2026-03-30T15:16:39.878,-1.34725000E-05,29
METER,2026-03-30T15:16:39.881,-1.34725000E-05,29
METER,2026-03-30T15:16:39.884,-1.34725000E-05,29
METER,2026-03-30T15:16:39.887,-1.34725000E-05,29
METER,2026-03-30T15:16:39.890,-1.34725000E-05,29
METER,2026-03-30T15:16:39.896,-1.34725000E-05,29
METER,2026-03-30T15:16:39.902,-1.34725000E-05,29
METER,2026-03-30T15:16:39.905,-1.34725000E-05,29
METER,2026-03-30T15:16:39.908,-1.34725000E-05,29
METER,2026-03-30T15:16:39.911,-1.34725000E-05,29
METER,2026-03-30T15:16:39.914,-1.34725000E-05,29
METER,2026-03-30T15:16:39.917,-1.34725000E-05,29
METER,2026-03-30T15:16:39.920,-1.34725000E-05,29
METER,2026-03-30T15:16:39.923,-1.34725000E-05,29
METER,2026-03-30T15:16:39.927,-1.34725000E-05,29
METER,2026-03-30T15:16:39.930,-1.34725000E-05,29
METER,2026-03-30T15:16:39.933,-1.34725000E-05,29
METER,2026-03-30T15:16:39.936,-1.34725000E-05,29
METER,2026-03-30T15:16:39.939,-1.34725000E-05,29
METER,2026-03-30T15:16:39.943,-1.34725000E-05,29
METER,2026-03-30T15:16:39.946,-1.34725000E-05,29
METER,2026-03-30T15:16:39.949,-1.34725000E-05,29
METER,2026-03-30T15:16:39.959,-1.34725000E-05,29
METER,2026-03-30T15:16:39.964,-1.34725000E-05,29
METER,2026-03-30T15:16:39.967,-1.34725000E-05,29
METER,2026-03-30T15:16:39.971,-1.34725000E-05,29
METER,2026-03-30T15:16:39.975,-1.34725000E-05,29
METER,2026-03-30T15:16:39.978,-1.34725000E-05,29
METER,2026-03-30T15:16:39.981,-1.34725000E-05,29
METER,2026-03-30T15:16:39.985,-1.34725000E-05,29
METER,2026-03-30T15:16:39.988,-1.34725000E-05,29
METER,2026-03-30T15:16:39.991,-1.34725000E-05,29
METER,2026-03-30T15:16:40.001,-1.34725000E-05,29
METER,2026-03-30T15:16:40.004,-1.28764000E-05,29
METER,2026-03-30T15:16:40.007,-1.28764000E-05,29
