# META
module,ble_nrf52
measurement,boot
boot_number,29
session,20260415_161742
shunt_ohms,1.1000

# DATA
type,timestamp_or_event,value_or_time,boot_number

EVENT,unplug,2026-04-15T16:22:06.077,29
METER,2026-04-15T16:22:06.084,1.89569000E-05,29
METER,2026-04-15T16:22:06.090,1.89569000E-05,29
METER,2026-04-15T16:22:06.094,1.89569000E-05,29
METER,2026-04-15T16:22:06.097,1.89569000E-05,29
METER,2026-04-15T16:22:06.100,1.89569000E-05,29
METER,2026-04-15T16:22:06.103,1.89569000E-05,29
METER,2026-04-15T16:22:06.106,1.89569000E-05,29
METER,2026-04-15T16:22:06.109,1.89569000E-05,29
METER,2026-04-15T16:22:06.112,1.89569000E-05,29
METER,2026-04-15T16:22:06.115,1.89569000E-05,29
METER,2026-04-15T16:22:06.118,1.89569000E-05,29
METER,2026-04-15T16:22:06.124,1.89569000E-05,29
METER,2026-04-15T16:22:06.127,1.89569000E-05,29
METER,2026-04-15T16:22:06.130,1.89569000E-05,29
METER,2026-04-15T16:22:06.133,1.89569000E-05,29
METER,2026-04-15T16:22:06.136,1.89569000E-05,29
METER,2026-04-15T16:22:06.139,1.89569000E-05,29
METER,2026-04-15T16:22:06.142,1.89569000E-05,29
METER,2026-04-15T16:22:06.147,1.89569000E-05,29
METER,2026-04-15T16:22:06.150,1.89569000E-05,29
METER,2026-04-15T16:22:06.153,1.89569000E-05,29
METER,2026-04-15T16:22:06.156,1.89569000E-05,29
METER,2026-04-15T16:22:06.159,1.89569000E-05,29
METER,2026-04-15T16:22:06.163,1.89569000E-05,29
METER,2026-04-15T16:22:06.166,1.89569000E-05,29
METER,2026-04-15T16:22:06.169,1.89569000E-05,29
METER,2026-04-15T16:22:06.172,1.89569000E-05,29
METER,2026-04-15T16:22:06.182,1.89569000E-05,29
METER,2026-04-15T16:22:06.185,2.26529000E-06,29
METER,2026-04-15T16:22:06.188,2.26529000E-06,29
METER,2026-04-15T16:22:06.191,2.26529000E-06,29
METER,2026-04-15T16:22:06.194,2.26529000E-06,29
METER,2026-04-15T16:22:06.197,2.26529000E-06,29
METER,2026-04-15T16:22:06.199,2.26529000E-06,29
METER,2026-04-15T16:22:06.205,2.26529000E-06,29
METER,2026-04-15T16:22:06.208,2.26529000E-06,29
METER,2026-04-15T16:22:06.211,2.26529000E-06,29
METER,2026-04-15T16:22:06.214,2.26529000E-06,29
METER,2026-04-15T16:22:06.217,2.26529000E-06,29
METER,2026-04-15T16:22:06.224,2.26529000E-06,29
METER,2026-04-15T16:22:06.227,2.26529000E-06,29
METER,2026-04-15T16:22:06.230,2.26529000E-06,29
METER,2026-04-15T16:22:06.233,2.26529000E-06,29
METER,2026-04-15T16:22:06.236,2.26529000E-06,29
METER,2026-04-15T16:22:06.239,2.26529000E-06,29
METER,2026-04-15T16:22:06.242,2.26529000E-06,29
METER,2026-04-15T16:22:06.245,2.26529000E-06,29
METER,2026-04-15T16:22:06.247,2.26529000E-06,29
METER,2026-04-15T16:22:06.250,2.26529000E-06,29
METER,2026-04-15T16:22:06.253,2.26529000E-06,29
METER,2026-04-15T16:22:06.256,2.26529000E-06,29
METER,2026-04-15T16:22:06.259,2.26529000E-06,29
METER,2026-04-15T16:22:06.265,2.26529000E-06,29
METER,2026-04-15T16:22:06.268,2.26529000E-06,29
METER,2026-04-15T16:22:06.273,2.26529000E-06,29
METER,2026-04-15T16:22:06.276,2.26529000E-06,29
METER,2026-04-15T16:22:06.279,2.26529000E-06,29
METER,2026-04-15T16:22:06.282,2.26529000E-06,29
METER,2026-04-15T16:22:06.285,2.26529000E-06,29
METER,2026-04-15T16:22:06.288,2.26529000E-06,29
METER,2026-04-15T16:22:06.290,2.26529000E-06,29
METER,2026-04-15T16:22:06.294,2.26529000E-06,29
METER,2026-04-15T16:22:06.297,2.26529000E-06,29
METER,2026-04-15T16:22:06.300,2.26529000E-06,29
METER,2026-04-15T16:22:06.303,2.26529000E-06,29
METER,2026-04-15T16:22:06.306,2.26529000E-06,29
METER,2026-04-15T16:22:06.309,2.26529000E-06,29
METER,2026-04-15T16:22:06.312,2.26529000E-06,29
METER,2026-04-15T16:22:06.314,2.26529000E-06,29
METER,2026-04-15T16:22:06.317,2.26529000E-06,29
METER,2026-04-15T16:22:06.323,2.26529000E-06,29
METER,2026-04-15T16:22:06.329,2.26529000E-06,29
METER,2026-04-15T16:22:06.332,2.26529000E-06,29
METER,2026-04-15T16:22:06.335,2.26529000E-06,29
METER,2026-04-15T16:22:06.338,2.26529000E-06,29
METER,2026-04-15T16:22:06.341,2.26529000E-06,29
METER,2026-04-15T16:22:06.344,2.26529000E-06,29
METER,2026-04-15T16:22:06.347,2.26529000E-06,29
METER,2026-04-15T16:22:06.350,2.26529000E-06,29
METER,2026-04-15T16:22:06.353,2.26529000E-06,29
METER,2026-04-15T16:22:06.356,2.26529000E-06,29
METER,2026-04-15T16:22:06.359,2.26529000E-06,29
METER,2026-04-15T16:22:06.363,2.26529000E-06,29
METER,2026-04-15T16:22:06.373,2.26529000E-06,29
METER,2026-04-15T16:22:06.376,-1.43071000E-06,29
METER,2026-04-15T16:22:06.381,-1.43071000E-06,29
METER,2026-04-15T16:22:06.384,-1.43071000E-06,29
METER,2026-04-15T16:22:06.387,-1.43071000E-06,29
METER,2026-04-15T16:22:06.390,-1.43071000E-06,29
METER,2026-04-15T16:22:06.393,-1.43071000E-06,29
METER,2026-04-15T16:22:06.396,-1.43071000E-06,29
METER,2026-04-15T16:22:06.399,-1.43071000E-06,29
METER,2026-04-15T16:22:06.402,-1.43071000E-06,29
METER,2026-04-15T16:22:06.405,-1.43071000E-06,29
METER,2026-04-15T16:22:06.408,-1.43071000E-06,29
METER,2026-04-15T16:22:06.411,-1.43071000E-06,29
METER,2026-04-15T16:22:06.414,-1.43071000E-06,29
METER,2026-04-15T16:22:06.417,-1.43071000E-06,29
METER,2026-04-15T16:22:06.420,-1.43071000E-06,29
METER,2026-04-15T16:22:06.423,-1.43071000E-06,29
METER,2026-04-15T16:22:06.431,-1.43071000E-06,29
METER,2026-04-15T16:22:06.440,-1.43071000E-06,29
METER,2026-04-15T16:22:06.443,-1.43071000E-06,29
METER,2026-04-15T16:22:06.446,-1.43071000E-06,29
METER,2026-04-15T16:22:06.449,-1.43071000E-06,29
METER,2026-04-15T16:22:06.452,-1.43071000E-06,29
METER,2026-04-15T16:22:06.455,-1.43071000E-06,29
METER,2026-04-15T16:22:06.458,-1.43071000E-06,29
METER,2026-04-15T16:22:06.464,-1.43071000E-06,29
METER,2026-04-15T16:22:06.467,-1.43071000E-06,29
METER,2026-04-15T16:22:06.470,-1.43071000E-06,29
METER,2026-04-15T16:22:06.474,-1.43071000E-06,29
METER,2026-04-15T16:22:06.477,-1.43071000E-06,29
METER,2026-04-15T16:22:06.480,-1.43071000E-06,29
METER,2026-04-15T16:22:06.483,-1.43071000E-06,29
METER,2026-04-15T16:22:06.488,-1.43071000E-06,29
METER,2026-04-15T16:22:06.492,-1.43071000E-06,29
METER,2026-04-15T16:22:06.497,-1.43071000E-06,29
METER,2026-04-15T16:22:06.500,-1.43071000E-06,29
METER,2026-04-15T16:22:06.503,-1.43071000E-06,29
METER,2026-04-15T16:22:06.507,-1.43071000E-06,29
METER,2026-04-15T16:22:06.510,-1.43071000E-06,29
METER,2026-04-15T16:22:06.513,-1.43071000E-06,29
METER,2026-04-15T16:22:06.516,-1.43071000E-06,29
METER,2026-04-15T16:22:06.519,-1.43071000E-06,29
METER,2026-04-15T16:22:06.522,-1.43071000E-06,29
METER,2026-04-15T16:22:06.529,-1.43071000E-06,29
METER,2026-04-15T16:22:06.533,-1.43071000E-06,29
METER,2026-04-15T16:22:06.537,-1.43071000E-06,29
METER,2026-04-15T16:22:06.541,-1.43071000E-06,29
METER,2026-04-15T16:22:06.544,-1.43071000E-06,29
METER,2026-04-15T16:22:06.548,-1.43071000E-06,29
METER,2026-04-15T16:22:06.554,-1.43071000E-06,29
METER,2026-04-15T16:22:06.560,-1.43071000E-06,29
METER,2026-04-15T16:22:06.564,-1.43071000E-06,29
METER,2026-04-15T16:22:06.568,-1.43071000E-06,29
METER,2026-04-15T16:22:06.576,-1.43071000E-06,29
METER,2026-04-15T16:22:06.579,-1.43071000E-06,29
METER,2026-04-15T16:22:06.582,-1.43071000E-06,29
METER,2026-04-15T16:22:06.585,-1.43071000E-06,29
METER,2026-04-15T16:22:06.588,-1.43071000E-06,29
METER,2026-04-15T16:22:06.591,-1.43071000E-06,29
METER,2026-04-15T16:22:06.594,-1.43071000E-06,29
METER,2026-04-15T16:22:06.597,-1.43071000E-06,29
METER,2026-04-15T16:22:06.600,-1.43071000E-06,29
METER,2026-04-15T16:22:06.604,-1.43071000E-06,29
METER,2026-04-15T16:22:06.607,-1.43071000E-06,29
METER,2026-04-15T16:22:06.612,-1.43071000E-06,29
METER,2026-04-15T16:22:06.615,-1.43071000E-06,29
METER,2026-04-15T16:22:06.619,-1.43071000E-06,29
METER,2026-04-15T16:22:06.622,-1.43071000E-06,29
METER,2026-04-15T16:22:06.625,-1.43071000E-06,29
METER,2026-04-15T16:22:06.628,-1.43071000E-06,29
METER,2026-04-15T16:22:06.631,-1.43071000E-06,29
METER,2026-04-15T16:22:06.634,-1.43071000E-06,29
METER,2026-04-15T16:22:06.637,-1.43071000E-06,29
METER,2026-04-15T16:22:06.640,-1.43071000E-06,29
METER,2026-04-15T16:22:06.643,-1.43071000E-06,29
METER,2026-04-15T16:22:06.647,-1.43071000E-06,29
METER,2026-04-15T16:22:06.658,-1.43071000E-06,29
METER,2026-04-15T16:22:06.663,-3.45756000E-06,29
METER,2026-04-15T16:22:06.667,-3.45756000E-06,29
