# META
run,1
session,20260416_222911

# EVENTS
payload_size,duration_ms,success

# METER
timestamp,value,phase
2026-04-16T22:30:43.018,2.97059000E-02,baseline
2026-04-16T22:30:43.021,2.97059000E-02,baseline
2026-04-16T22:30:43.028,2.97059000E-02,baseline
2026-04-16T22:30:43.032,2.97059000E-02,baseline
2026-04-16T22:30:43.036,2.97059000E-02,baseline
2026-04-16T22:30:43.042,2.97059000E-02,baseline
2026-04-16T22:30:43.045,2.97059000E-02,baseline
2026-04-16T22:30:43.048,2.97059000E-02,baseline
2026-04-16T22:30:43.052,2.97059000E-02,baseline
2026-04-16T22:30:43.056,2.97059000E-02,baseline
2026-04-16T22:30:43.064,2.97059000E-02,baseline
2026-04-16T22:30:43.068,2.97059000E-02,baseline
2026-04-16T22:30:43.071,2.97059000E-02,baseline
2026-04-16T22:30:43.074,2.97059000E-02,baseline
2026-04-16T22:30:43.078,2.97059000E-02,baseline
2026-04-16T22:30:43.081,2.97059000E-02,baseline
2026-04-16T22:30:43.086,2.97059000E-02,baseline
2026-04-16T22:30:43.090,2.97059000E-02,baseline
2026-04-16T22:30:43.095,2.97059000E-02,baseline
2026-04-16T22:30:43.098,2.97059000E-02,baseline
2026-04-16T22:30:43.102,2.97059000E-02,baseline
2026-04-16T22:30:43.105,2.97059000E-02,baseline
2026-04-16T22:30:43.112,2.97059000E-02,baseline
2026-04-16T22:30:43.119,2.97059000E-02,baseline
2026-04-16T22:30:43.122,2.97059000E-02,baseline
2026-04-16T22:30:43.125,2.97059000E-02,baseline
2026-04-16T22:30:43.128,2.97059000E-02,baseline
2026-04-16T22:30:43.132,2.97059000E-02,baseline
2026-04-16T22:30:43.144,2.97034000E-02,baseline
2026-04-16T22:30:43.148,2.97034000E-02,baseline
2026-04-16T22:30:43.151,2.97034000E-02,baseline
2026-04-16T22:30:43.154,2.97034000E-02,baseline
2026-04-16T22:30:43.157,2.97034000E-02,baseline
2026-04-16T22:30:43.164,2.97034000E-02,baseline
2026-04-16T22:30:43.167,2.97034000E-02,baseline
2026-04-16T22:30:43.171,2.97034000E-02,baseline
2026-04-16T22:30:43.174,2.97034000E-02,baseline
2026-04-16T22:30:43.177,2.97034000E-02,baseline
2026-04-16T22:30:43.181,2.97034000E-02,baseline
2026-04-16T22:30:43.184,2.97034000E-02,baseline
2026-04-16T22:30:43.188,2.97034000E-02,baseline
2026-04-16T22:30:43.197,2.97034000E-02,baseline
2026-04-16T22:30:43.202,2.97034000E-02,baseline
2026-04-16T22:30:43.206,2.97034000E-02,baseline
2026-04-16T22:30:43.209,2.97034000E-02,baseline
2026-04-16T22:30:43.212,2.97034000E-02,baseline
2026-04-16T22:30:43.216,2.97034000E-02,baseline
2026-04-16T22:30:43.219,2.97034000E-02,baseline
2026-04-16T22:30:43.222,2.97034000E-02,baseline
2026-04-16T22:30:43.226,2.97034000E-02,baseline
2026-04-16T22:30:43.232,2.97034000E-02,baseline
2026-04-16T22:30:43.236,2.97034000E-02,baseline
2026-04-16T22:30:43.239,2.97034000E-02,baseline
2026-04-16T22:30:43.242,2.97034000E-02,baseline
2026-04-16T22:30:43.245,2.97034000E-02,baseline
2026-04-16T22:30:43.248,2.97034000E-02,baseline
2026-04-16T22:30:43.252,2.97034000E-02,baseline
2026-04-16T22:30:43.255,2.97034000E-02,baseline
2026-04-16T22:30:43.260,2.97034000E-02,baseline
2026-04-16T22:30:43.267,2.97034000E-02,baseline
2026-04-16T22:30:43.271,2.97034000E-02,baseline
2026-04-16T22:30:43.274,2.97034000E-02,baseline
2026-04-16T22:30:43.277,2.97034000E-02,baseline
2026-04-16T22:30:43.280,2.97034000E-02,baseline
2026-04-16T22:30:43.284,2.97034000E-02,baseline
2026-04-16T22:30:43.287,2.97034000E-02,baseline
2026-04-16T22:30:43.290,2.97034000E-02,baseline
2026-04-16T22:30:43.293,2.97034000E-02,baseline
2026-04-16T22:30:43.296,2.97034000E-02,baseline
2026-04-16T22:30:43.301,2.97034000E-02,baseline
2026-04-16T22:30:43.304,2.97034000E-02,baseline
2026-04-16T22:30:43.308,2.97034000E-02,baseline
2026-04-16T22:30:43.312,2.97034000E-02,baseline
2026-04-16T22:30:43.318,2.97034000E-02,baseline
2026-04-16T22:30:43.321,2.97034000E-02,baseline
2026-04-16T22:30:43.331,2.97023000E-02,baseline
2026-04-16T22:30:43.334,2.97023000E-02,baseline
2026-04-16T22:30:43.338,2.97023000E-02,baseline
2026-04-16T22:30:43.341,2.97023000E-02,baseline
2026-04-16T22:30:43.344,2.97023000E-02,baseline
2026-04-16T22:30:43.347,2.97023000E-02,baseline
2026-04-16T22:30:43.350,2.97023000E-02,baseline
2026-04-16T22:30:43.354,2.97023000E-02,baseline
2026-04-16T22:30:43.357,2.97023000E-02,baseline
2026-04-16T22:30:43.361,2.97023000E-02,baseline
2026-04-16T22:30:43.372,2.97023000E-02,baseline
2026-04-16T22:30:43.379,2.97023000E-02,baseline
2026-04-16T22:30:43.382,2.97023000E-02,baseline
2026-04-16T22:30:43.385,2.97023000E-02,baseline
2026-04-16T22:30:43.388,2.97023000E-02,baseline
2026-04-16T22:30:43.392,2.97023000E-02,baseline
2026-04-16T22:30:43.395,2.97023000E-02,baseline
2026-04-16T22:30:43.398,2.97023000E-02,baseline
2026-04-16T22:30:43.402,2.97023000E-02,baseline
2026-04-16T22:30:43.405,2.97023000E-02,baseline
2026-04-16T22:30:43.408,2.97023000E-02,baseline
2026-04-16T22:30:43.411,2.97023000E-02,baseline
2026-04-16T22:30:43.415,2.97023000E-02,baseline
2026-04-16T22:30:43.421,2.97023000E-02,baseline
2026-04-16T22:30:43.424,2.97023000E-02,baseline
2026-04-16T22:30:43.427,2.97023000E-02,baseline
2026-04-16T22:30:43.433,2.97023000E-02,baseline
2026-04-16T22:30:43.437,2.97023000E-02,baseline
2026-04-16T22:30:43.440,2.97023000E-02,baseline
2026-04-16T22:30:43.443,2.97023000E-02,baseline
2026-04-16T22:30:43.447,2.97023000E-02,baseline
2026-04-16T22:30:43.450,2.97023000E-02,baseline
2026-04-16T22:30:43.453,2.97023000E-02,baseline
2026-04-16T22:30:43.456,2.97023000E-02,baseline
2026-04-16T22:30:43.459,2.97023000E-02,baseline
2026-04-16T22:30:43.466,2.97023000E-02,baseline
2026-04-16T22:30:43.470,2.97023000E-02,baseline
2026-04-16T22:30:43.473,2.97023000E-02,baseline
2026-04-16T22:30:43.476,2.97023000E-02,baseline
2026-04-16T22:30:43.479,2.97023000E-02,baseline
2026-04-16T22:30:43.484,2.97023000E-02,baseline
2026-04-16T22:30:43.487,2.97023000E-02,baseline
2026-04-16T22:30:43.492,2.97023000E-02,baseline
2026-04-16T22:30:43.495,2.97023000E-02,baseline
2026-04-16T22:30:43.498,2.97023000E-02,baseline
2026-04-16T22:30:43.502,2.97023000E-02,baseline
2026-04-16T22:30:43.505,2.97023000E-02,baseline
2026-04-16T22:30:43.508,2.97023000E-02,baseline
2026-04-16T22:30:43.511,2.97023000E-02,baseline
2026-04-16T22:30:43.521,2.97038000E-02,baseline
2026-04-16T22:30:43.524,2.97038000E-02,baseline
2026-04-16T22:30:43.528,2.97038000E-02,baseline
2026-04-16T22:30:43.532,2.97038000E-02,baseline
2026-04-16T22:30:43.535,2.97038000E-02,baseline
2026-04-16T22:30:43.538,2.97038000E-02,baseline
2026-04-16T22:30:43.541,2.97038000E-02,baseline
2026-04-16T22:30:43.544,2.97038000E-02,baseline
2026-04-16T22:30:43.550,2.97038000E-02,baseline
2026-04-16T22:30:43.553,2.97038000E-02,baseline
2026-04-16T22:30:43.557,2.97038000E-02,baseline
2026-04-16T22:30:43.560,2.97038000E-02,baseline
2026-04-16T22:30:43.567,2.97038000E-02,baseline
2026-04-16T22:30:43.570,2.97038000E-02,baseline
2026-04-16T22:30:43.574,2.97038000E-02,baseline
2026-04-16T22:30:43.577,2.97038000E-02,baseline
2026-04-16T22:30:43.580,2.97038000E-02,baseline
2026-04-16T22:30:43.583,2.97038000E-02,baseline
2026-04-16T22:30:43.587,2.97038000E-02,baseline
2026-04-16T22:30:43.590,2.97038000E-02,baseline
2026-04-16T22:30:43.593,2.97038000E-02,baseline
2026-04-16T22:30:43.597,2.97038000E-02,baseline
2026-04-16T22:30:43.600,2.97038000E-02,baseline
2026-04-16T22:30:43.607,2.97038000E-02,baseline
2026-04-16T22:30:43.613,2.97038000E-02,baseline
2026-04-16T22:30:43.617,2.97038000E-02,baseline
2026-04-16T22:30:43.624,2.97038000E-02,baseline
2026-04-16T22:30:43.627,2.97038000E-02,baseline
2026-04-16T22:30:43.636,2.97038000E-02,baseline
2026-04-16T22:30:43.640,2.97038000E-02,baseline
2026-04-16T22:30:43.643,2.97038000E-02,baseline
2026-04-16T22:30:43.646,2.97038000E-02,baseline
2026-04-16T22:30:43.650,2.97038000E-02,baseline
2026-04-16T22:30:43.653,2.97038000E-02,baseline
2026-04-16T22:30:43.656,2.97038000E-02,baseline
2026-04-16T22:30:43.659,2.97038000E-02,baseline
2026-04-16T22:30:43.665,2.97038000E-02,baseline
2026-04-16T22:30:43.672,2.97038000E-02,baseline
2026-04-16T22:30:43.676,2.97038000E-02,baseline
2026-04-16T22:30:43.679,2.97038000E-02,baseline
2026-04-16T22:30:43.683,2.97038000E-02,baseline
2026-04-16T22:30:43.686,2.97038000E-02,baseline
2026-04-16T22:30:43.689,2.97038000E-02,baseline
2026-04-16T22:30:43.692,2.97038000E-02,baseline
2026-04-16T22:30:43.696,2.97038000E-02,baseline
2026-04-16T22:30:43.699,2.97038000E-02,baseline
2026-04-16T22:30:43.702,2.97038000E-02,baseline
2026-04-16T22:30:43.712,2.96985000E-02,baseline
2026-04-16T22:30:43.715,2.96985000E-02,baseline
2026-04-16T22:30:43.718,2.96985000E-02,baseline
2026-04-16T22:30:43.724,2.96985000E-02,baseline
