# META
run,13
session,20260416_222911

# EVENTS
payload_size,duration_ms,success

# METER
timestamp,value,phase
2026-04-16T22:52:07.338,2.95752000E-02,baseline
2026-04-16T22:52:07.344,2.95752000E-02,baseline
2026-04-16T22:52:07.348,2.95752000E-02,baseline
2026-04-16T22:52:07.352,2.95752000E-02,baseline
2026-04-16T22:52:07.363,2.95752000E-02,baseline
2026-04-16T22:52:07.367,2.95747000E-02,baseline
2026-04-16T22:52:07.370,2.95747000E-02,baseline
2026-04-16T22:52:07.373,2.95747000E-02,baseline
2026-04-16T22:52:07.377,2.95747000E-02,baseline
2026-04-16T22:52:07.380,2.95747000E-02,baseline
2026-04-16T22:52:07.384,2.95747000E-02,baseline
2026-04-16T22:52:07.387,2.95747000E-02,baseline
2026-04-16T22:52:07.390,2.95747000E-02,baseline
2026-04-16T22:52:07.393,2.95747000E-02,baseline
2026-04-16T22:52:07.396,2.95747000E-02,baseline
2026-04-16T22:52:07.402,2.95747000E-02,baseline
2026-04-16T22:52:07.410,2.95747000E-02,baseline
2026-04-16T22:52:07.413,2.95747000E-02,baseline
2026-04-16T22:52:07.417,2.95747000E-02,baseline
2026-04-16T22:52:07.420,2.95747000E-02,baseline
2026-04-16T22:52:07.423,2.95747000E-02,baseline
2026-04-16T22:52:07.426,2.95747000E-02,baseline
2026-04-16T22:52:07.430,2.95747000E-02,baseline
2026-04-16T22:52:07.433,2.95747000E-02,baseline
2026-04-16T22:52:07.437,2.95747000E-02,baseline
2026-04-16T22:52:07.440,2.95747000E-02,baseline
2026-04-16T22:52:07.443,2.95747000E-02,baseline
2026-04-16T22:52:07.446,2.95747000E-02,baseline
2026-04-16T22:52:07.453,2.95747000E-02,baseline
2026-04-16T22:52:07.459,2.95747000E-02,baseline
2026-04-16T22:52:07.462,2.95747000E-02,baseline
2026-04-16T22:52:07.465,2.95747000E-02,baseline
2026-04-16T22:52:07.469,2.95747000E-02,baseline
2026-04-16T22:52:07.472,2.95747000E-02,baseline
2026-04-16T22:52:07.475,2.95747000E-02,baseline
2026-04-16T22:52:07.478,2.95747000E-02,baseline
2026-04-16T22:52:07.481,2.95747000E-02,baseline
2026-04-16T22:52:07.485,2.95747000E-02,baseline
2026-04-16T22:52:07.488,2.95747000E-02,baseline
2026-04-16T22:52:07.492,2.95747000E-02,baseline
2026-04-16T22:52:07.495,2.95747000E-02,baseline
2026-04-16T22:52:07.498,2.95747000E-02,baseline
2026-04-16T22:52:07.502,2.95747000E-02,baseline
2026-04-16T22:52:07.509,2.95747000E-02,baseline
2026-04-16T22:52:07.512,2.95747000E-02,baseline
2026-04-16T22:52:07.521,2.95747000E-02,baseline
2026-04-16T22:52:07.524,2.95747000E-02,baseline
2026-04-16T22:52:07.527,2.95747000E-02,baseline
2026-04-16T22:52:07.531,2.95747000E-02,baseline
2026-04-16T22:52:07.534,2.95747000E-02,baseline
2026-04-16T22:52:07.537,2.95747000E-02,baseline
2026-04-16T22:52:07.540,2.95747000E-02,baseline
2026-04-16T22:52:07.543,2.95747000E-02,baseline
2026-04-16T22:52:07.553,2.95760000E-02,baseline
2026-04-16T22:52:07.557,2.95760000E-02,baseline
2026-04-16T22:52:07.561,2.95760000E-02,baseline
2026-04-16T22:52:07.564,2.95760000E-02,baseline
2026-04-16T22:52:07.567,2.95760000E-02,baseline
2026-04-16T22:52:07.570,2.95760000E-02,baseline
2026-04-16T22:52:07.576,2.95760000E-02,baseline
2026-04-16T22:52:07.579,2.95760000E-02,baseline
2026-04-16T22:52:07.582,2.95760000E-02,baseline
2026-04-16T22:52:07.586,2.95760000E-02,baseline
2026-04-16T22:52:07.589,2.95760000E-02,baseline
2026-04-16T22:52:07.592,2.95760000E-02,baseline
2026-04-16T22:52:07.595,2.95760000E-02,baseline
2026-04-16T22:52:07.599,2.95760000E-02,baseline
2026-04-16T22:52:07.602,2.95760000E-02,baseline
2026-04-16T22:52:07.610,2.95760000E-02,baseline
2026-04-16T22:52:07.613,2.95760000E-02,baseline
2026-04-16T22:52:07.616,2.95760000E-02,baseline
2026-04-16T22:52:07.619,2.95760000E-02,baseline
2026-04-16T22:52:07.623,2.95760000E-02,baseline
2026-04-16T22:52:07.626,2.95760000E-02,baseline
2026-04-16T22:52:07.629,2.95760000E-02,baseline
2026-04-16T22:52:07.635,2.95760000E-02,baseline
2026-04-16T22:52:07.638,2.95760000E-02,baseline
2026-04-16T22:52:07.644,2.95760000E-02,baseline
2026-04-16T22:52:07.647,2.95760000E-02,baseline
2026-04-16T22:52:07.650,2.95760000E-02,baseline
2026-04-16T22:52:07.654,2.95760000E-02,baseline
2026-04-16T22:52:07.657,2.95760000E-02,baseline
2026-04-16T22:52:07.661,2.95760000E-02,baseline
2026-04-16T22:52:07.664,2.95760000E-02,baseline
2026-04-16T22:52:07.667,2.95760000E-02,baseline
2026-04-16T22:52:07.671,2.95760000E-02,baseline
2026-04-16T22:52:07.674,2.95760000E-02,baseline
2026-04-16T22:52:07.677,2.95760000E-02,baseline
2026-04-16T22:52:07.680,2.95760000E-02,baseline
2026-04-16T22:52:07.683,2.95760000E-02,baseline
2026-04-16T22:52:07.687,2.95760000E-02,baseline
2026-04-16T22:52:07.693,2.95760000E-02,baseline
2026-04-16T22:52:07.696,2.95760000E-02,baseline
2026-04-16T22:52:07.699,2.95760000E-02,baseline
2026-04-16T22:52:07.703,2.95760000E-02,baseline
2026-04-16T22:52:07.711,2.95760000E-02,baseline
2026-04-16T22:52:07.714,2.95760000E-02,baseline
2026-04-16T22:52:07.717,2.95760000E-02,baseline
2026-04-16T22:52:07.721,2.95760000E-02,baseline
2026-04-16T22:52:07.724,2.95760000E-02,baseline
2026-04-16T22:52:07.727,2.95760000E-02,baseline
2026-04-16T22:52:07.730,2.95760000E-02,baseline
2026-04-16T22:52:07.734,2.95760000E-02,baseline
2026-04-16T22:52:07.743,2.95773000E-02,baseline
2026-04-16T22:52:07.750,2.95773000E-02,baseline
2026-04-16T22:52:07.753,2.95773000E-02,baseline
2026-04-16T22:52:07.757,2.95773000E-02,baseline
2026-04-16T22:52:07.760,2.95773000E-02,baseline
2026-04-16T22:52:07.764,2.95773000E-02,baseline
2026-04-16T22:52:07.767,2.95773000E-02,baseline
2026-04-16T22:52:07.770,2.95773000E-02,baseline
2026-04-16T22:52:07.773,2.95773000E-02,baseline
2026-04-16T22:52:07.777,2.95773000E-02,baseline
2026-04-16T22:52:07.780,2.95773000E-02,baseline
2026-04-16T22:52:07.783,2.95773000E-02,baseline
2026-04-16T22:52:07.786,2.95773000E-02,baseline
2026-04-16T22:52:07.790,2.95773000E-02,baseline
2026-04-16T22:52:07.793,2.95773000E-02,baseline
2026-04-16T22:52:07.796,2.95773000E-02,baseline
2026-04-16T22:52:07.799,2.95773000E-02,baseline
2026-04-16T22:52:07.803,2.95773000E-02,baseline
2026-04-16T22:52:07.809,2.95773000E-02,baseline
2026-04-16T22:52:07.816,2.95773000E-02,baseline
2026-04-16T22:52:07.819,2.95773000E-02,baseline
2026-04-16T22:52:07.822,2.95773000E-02,baseline
2026-04-16T22:52:07.826,2.95773000E-02,baseline
2026-04-16T22:52:07.829,2.95773000E-02,baseline
2026-04-16T22:52:07.834,2.95773000E-02,baseline
2026-04-16T22:52:07.838,2.95773000E-02,baseline
2026-04-16T22:52:07.841,2.95773000E-02,baseline
2026-04-16T22:52:07.844,2.95773000E-02,baseline
2026-04-16T22:52:07.847,2.95773000E-02,baseline
2026-04-16T22:52:07.851,2.95773000E-02,baseline
2026-04-16T22:52:07.854,2.95773000E-02,baseline
2026-04-16T22:52:07.857,2.95773000E-02,baseline
2026-04-16T22:52:07.861,2.95773000E-02,baseline
2026-04-16T22:52:07.867,2.95773000E-02,baseline
2026-04-16T22:52:07.870,2.95773000E-02,baseline
2026-04-16T22:52:07.873,2.95773000E-02,baseline
2026-04-16T22:52:07.876,2.95773000E-02,baseline
2026-04-16T22:52:07.880,2.95773000E-02,baseline
2026-04-16T22:52:07.883,2.95773000E-02,baseline
2026-04-16T22:52:07.886,2.95773000E-02,baseline
2026-04-16T22:52:07.889,2.95773000E-02,baseline
2026-04-16T22:52:07.892,2.95773000E-02,baseline
2026-04-16T22:52:07.896,2.95773000E-02,baseline
2026-04-16T22:52:07.899,2.95773000E-02,baseline
2026-04-16T22:52:07.902,2.95773000E-02,baseline
2026-04-16T22:52:07.906,2.95773000E-02,baseline
2026-04-16T22:52:07.909,2.95773000E-02,baseline
2026-04-16T22:52:07.916,2.95773000E-02,baseline
2026-04-16T22:52:07.919,2.95773000E-02,baseline
2026-04-16T22:52:07.934,2.95831000E-02,baseline
2026-04-16T22:52:07.937,2.95831000E-02,baseline
2026-04-16T22:52:07.941,2.95831000E-02,baseline
2026-04-16T22:52:07.944,2.95831000E-02,baseline
2026-04-16T22:52:07.947,2.95831000E-02,baseline
2026-04-16T22:52:07.951,2.95831000E-02,baseline
2026-04-16T22:52:07.954,2.95831000E-02,baseline
2026-04-16T22:52:07.958,2.95831000E-02,baseline
2026-04-16T22:52:07.961,2.95831000E-02,baseline
2026-04-16T22:52:07.965,2.95831000E-02,baseline
2026-04-16T22:52:07.968,2.95831000E-02,baseline
2026-04-16T22:52:07.972,2.95831000E-02,baseline
2026-04-16T22:52:07.975,2.95831000E-02,baseline
2026-04-16T22:52:07.981,2.95831000E-02,baseline
2026-04-16T22:52:07.984,2.95831000E-02,baseline
2026-04-16T22:52:07.987,2.95831000E-02,baseline
2026-04-16T22:52:07.991,2.95831000E-02,baseline
2026-04-16T22:52:07.994,2.95831000E-02,baseline
2026-04-16T22:52:07.997,2.95831000E-02,baseline
2026-04-16T22:52:08.001,2.95831000E-02,baseline
2026-04-16T22:52:08.004,2.95831000E-02,baseline
2026-04-16T22:52:08.007,2.95831000E-02,baseline
2026-04-16T22:52:08.015,2.95831000E-02,baseline
