# META
module,esp32
measurement,boot
boot_number,8
session,20260330_150910
shunt_ohms,1.1000

# DATA
type,timestamp_or_event,value_or_time,boot_number

EVENT,unplug,2026-03-30T15:11:52.762,8
METER,2026-03-30T15:11:52.766,-1.29956000E-05,8
METER,2026-03-30T15:11:52.769,-1.29956000E-05,8
METER,2026-03-30T15:11:52.772,-1.29956000E-05,8
METER,2026-03-30T15:11:52.775,-1.29956000E-05,8
METER,2026-03-30T15:11:52.778,-1.29956000E-05,8
METER,2026-03-30T15:11:52.781,-1.29956000E-05,8
METER,2026-03-30T15:11:52.784,-1.29956000E-05,8
METER,2026-03-30T15:11:52.787,-1.29956000E-05,8
METER,2026-03-30T15:11:52.790,-1.29956000E-05,8
METER,2026-03-30T15:11:52.793,-1.29956000E-05,8
METER,2026-03-30T15:11:52.796,-1.29956000E-05,8
METER,2026-03-30T15:11:52.800,-1.29956000E-05,8
METER,2026-03-30T15:11:52.803,-1.29956000E-05,8
METER,2026-03-30T15:11:52.806,-1.29956000E-05,8
METER,2026-03-30T15:11:52.811,-1.29956000E-05,8
METER,2026-03-30T15:11:52.814,-1.29956000E-05,8
METER,2026-03-30T15:11:52.820,-1.29956000E-05,8
METER,2026-03-30T15:11:52.823,-1.29956000E-05,8
METER,2026-03-30T15:11:52.826,-1.29956000E-05,8
METER,2026-03-30T15:11:52.829,-1.29956000E-05,8
METER,2026-03-30T15:11:52.833,-1.29956000E-05,8
METER,2026-03-30T15:11:52.836,-1.29956000E-05,8
METER,2026-03-30T15:11:52.839,-1.29956000E-05,8
METER,2026-03-30T15:11:52.842,-1.29956000E-05,8
METER,2026-03-30T15:11:52.851,-1.29956000E-05,8
METER,2026-03-30T15:11:52.854,-1.29956000E-05,8
METER,2026-03-30T15:11:52.857,-1.29956000E-05,8
METER,2026-03-30T15:11:52.860,-1.29956000E-05,8
METER,2026-03-30T15:11:52.863,-1.29956000E-05,8
METER,2026-03-30T15:11:52.866,-1.29956000E-05,8
METER,2026-03-30T15:11:52.869,-1.29956000E-05,8
METER,2026-03-30T15:11:52.874,-1.29956000E-05,8
METER,2026-03-30T15:11:52.880,-1.29956000E-05,8
METER,2026-03-30T15:11:52.885,-1.29956000E-05,8
METER,2026-03-30T15:11:52.888,-1.29956000E-05,8
METER,2026-03-30T15:11:52.893,-1.29956000E-05,8
METER,2026-03-30T15:11:52.897,-1.29956000E-05,8
METER,2026-03-30T15:11:52.901,-1.29956000E-05,8
METER,2026-03-30T15:11:52.911,-1.31149000E-05,8
METER,2026-03-30T15:11:52.914,-1.31149000E-05,8
METER,2026-03-30T15:11:52.917,-1.31149000E-05,8
METER,2026-03-30T15:11:52.920,-1.31149000E-05,8
METER,2026-03-30T15:11:52.924,-1.31149000E-05,8
METER,2026-03-30T15:11:52.927,-1.31149000E-05,8
METER,2026-03-30T15:11:52.933,-1.31149000E-05,8
METER,2026-03-30T15:11:52.938,-1.31149000E-05,8
