# META
module,esp32
strategy,chunked_1460
tcp_chunk_bytes,1460
run,1
attempt,11
session,20260417_164740
baseline_s,5.0
shunt_ohms,1.130000
v_supply,3.300

# EVENTS
run,payload_size,declared_size,bytes_received,tx_start,rx_end,complete,verified,skip_reason

# METER
timestamp,v_shunt,phase
estimated_start,2026-04-17T17:12:23.835961
start_delay_ms,500
1,1,1,1,2026-04-17T17:12:24.341,2026-04-17T17:12:24.344,True,True,
1,2,2,2,2026-04-17T17:12:25.346,2026-04-17T17:12:26.321,True,True,
1,4,4,4,2026-04-17T17:12:27.327,2026-04-17T17:12:28.371,True,True,
1,8,8,8,2026-04-17T17:12:29.377,2026-04-17T17:12:30.409,True,True,
1,16,16,16,2026-04-17T17:12:31.414,2026-04-17T17:12:32.484,True,True,
1,32,32,32,2026-04-17T17:12:33.487,2026-04-17T17:12:34.529,True,True,
1,64,64,64,2026-04-17T17:12:35.531,2026-04-17T17:12:36.553,True,True,
1,128,128,128,2026-04-17T17:12:37.558,2026-04-17T17:12:38.616,True,True,
1,256,256,256,2026-04-17T17:12:39.618,2026-04-17T17:12:40.699,True,True,
1,512,512,512,2026-04-17T17:12:41.705,2026-04-17T17:12:41.969,True,True,
1,1024,1024,0,2026-04-17T17:12:42.975,2026-04-17T17:19:13.097,False,False,
