module,strategy,run,payload_bytes,duration_s,mean_power_mW,energy_mJ,efficiency_mJ_per_KB,run_total_energy_mJ,run_mean_active_power_mW,baseline_mean_mA,baseline_std_mA
ble_nrf52,full_payload,1,1,0.741,37.4265,27.733811,28399.422121,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,2,0.546,37.4098,20.425668,10457.941908,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,4,0.545,37.4929,20.426919,5229.291176,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,8,0.543,37.3579,20.285427,2596.534596,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,16,0.518,37.3874,19.366698,1239.468659,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,32,0.546,37.544,20.497708,655.926665,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,64,0.575,37.5503,21.588152,345.41043,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,128,0.522,37.397,19.520545,156.164364,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,256,0.546,37.3946,20.417613,81.670452,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,512,0.574,37.483,21.509891,43.019781,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,1024,0.62,37.8379,23.442114,23.442114,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,2048,0.77,37.9287,29.197746,14.598873,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,4096,0.868,38.1317,33.095887,8.273972,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,8192,1.341,37.9615,50.890802,6.36135,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,16384,2.175,37.4063,81.401812,5.087613,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,32768,4.117,36.8703,151.815316,4.744229,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,65536,7.926,37.0692,293.913778,4.592403,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,131072,1.516,38.1169,57.781906,0.451421,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,262144,1.521,38.233,58.159108,0.227184,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,524288,1.518,38.1453,57.927019,0.113139,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,1048576,1.505,38.151,57.434525,0.056088,1106.8324,37.4778,6.28557,1.96575
