Protocol,Experiment,Run,Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,chunk,esp32_chunked_1460_run20.csv,36708,231.3813039626,0.1076944358,0.1076280000,0.0014225707,0.1181450000,0.0956424000,0.0000941138,94.9216785645,94.8631234003,1.2538258154,104.1326001424,84.2992515318,476.5428017100,6.2946807932,0.0876768819
wifi,chunk,esp32_chunked_1460_run08.csv,37723,106.7015262874,0.1070785348,0.1073000000,0.0025872174,0.1175960000,0.0948306000,0.0002506852,94.3788356034,94.5740306579,2.2803224478,103.6487223511,83.5837469945,473.8175243080,11.4480829304,0.2342208070
wifi,chunk,esp32_chunked_1460_run09.csv,39114,103.3863504058,0.1070355791,0.1073630000,0.0028246635,0.1166830000,0.0947553000,0.0002780000,94.3409752799,94.6295576176,2.4896028031,102.8440221262,83.5173790570,473.6274511349,12.4987496311,0.2598235150
wifi,chunk,esp32_chunked_1460_run21.csv,36120,219.0754357785,0.1073709223,0.1075010000,0.0019632012,0.1158070000,0.0948053000,0.0001330546,94.6365402018,94.7511881007,1.7303268913,102.0719329728,83.5614480726,475.1112990619,8.6868967883,0.1241232245
wifi,chunk,esp32_chunked_1460_run23.csv,38251,140.0720426837,0.1070306333,0.1073420000,0.0024747730,0.1155950000,0.0945302000,0.0002093659,94.3366161897,94.6110486310,2.1812162389,101.8850803466,83.3189803487,473.6055668496,10.9505322004,0.1957415418
wifi,chunk,esp32_chunked_1460_run22.csv,36618,208.3158144277,0.1075502812,0.1075350000,0.0016296526,0.1176160000,0.0944012000,0.0001134007,94.7946235444,94.7811550313,1.4363437516,103.6663499573,83.2052822885,475.9049373554,7.2109900071,0.1056779304
wifi,chunk,esp32_chunked_1460_run26.csv,37923,89.1432670775,0.1066393502,0.1072340000,0.0031481867,0.1172120000,0.0945797000,0.0003336030,93.9917469697,94.5158595573,2.7747498060,103.3102723113,83.3626086742,471.8741926602,13.9302956563,0.3129133132
wifi,chunk,esp32_chunked_1460_run27.csv,38319,127.5361656065,0.1071112447,0.1074140000,0.0026016022,0.1158880000,0.0947049000,0.0002306083,94.4076654513,94.6745080135,2.2930009297,102.1433247781,83.4729574893,473.9622610710,11.5117337146,0.2154146739
wifi,chunk,esp32_chunked_1460_run19.csv,38583,99.5136478586,0.1067509547,0.1075890000,0.0035495632,0.1158820000,0.0947519000,0.0003559767,94.0901129152,94.8287495681,3.1285150921,102.1380364962,83.5143823639,472.3680269870,15.7063314695,0.3335400835
wifi,chunk,esp32_chunked_1460_run25.csv,38077,142.3663281476,0.1069356969,0.1073020000,0.0027488018,0.1179930000,0.0946513000,0.0002306159,94.2529410765,94.5757934186,2.4227397752,103.9986303350,83.4257155045,473.1854860689,12.1630718899,0.2157750625
